fid,Merged,xcoord,ycoord
"151",17,-0.356666666666667,51.4325
"152",17,-0.356111111111111,51.4325
"153",17,-0.355555555555556,51.4325
"154",15,-0.355,51.4325
"155",17,-0.354444444444444,51.4325
"156",16,-0.353888888888889,51.4325
"157",16,-0.353333333333333,51.4325
"158",17,-0.352777777777778,51.4325
"159",18,-0.352222222222222,51.4325
"160",18,-0.351666666666667,51.4325
"161",18,-0.351111111111111,51.4325
"162",17,-0.350555555555556,51.4325
"163",18,-0.35,51.4325
"164",19,-0.349444444444444,51.4325
"165",17,-0.348888888888889,51.4325
"166",17,-0.348333333333333,51.4325
"167",15,-0.347777777777778,51.4325
"168",15,-0.347222222222222,51.4325
"169",15,-0.346666666666667,51.4325
"170",15,-0.346111111111111,51.4325
"171",14,-0.345555555555556,51.4325
"172",13,-0.345,51.4325
"173",14,-0.344444444444444,51.4325
"174",13,-0.343888888888889,51.4325
"175",13,-0.343333333333333,51.4325
"176",13,-0.342777777777778,51.4325
"177",16,-0.342222222222222,51.4325
"178",18,-0.341666666666667,51.4325
"179",17,-0.341111111111111,51.4325
"180",15,-0.340555555555556,51.4325
"181",13,-0.34,51.4325
"182",13,-0.339444444444444,51.4325
"183",14,-0.338888888888889,51.4325
"184",14,-0.338333333333333,51.4325
"185",14,-0.337777777777778,51.4325
"186",13,-0.337222222222222,51.4325
"187",14,-0.336666666666667,51.4325
"188",14,-0.336111111111111,51.4325
"189",13,-0.335555555555556,51.4325
"190",12,-0.335,51.4325
"191",11,-0.334444444444444,51.4325
"192",12,-0.333888888888889,51.4325
"193",12,-0.333333333333333,51.4325
"194",13,-0.332777777777778,51.4325
"195",14,-0.332222222222222,51.4325
"196",13,-0.331666666666667,51.4325
"197",10,-0.331111111111111,51.4325
"198",10,-0.330555555555556,51.4325
"199",9,-0.33,51.4325
"200",10,-0.329444444444445,51.4325
"201",10,-0.328888888888889,51.4325
"202",10,-0.328333333333333,51.4325
"203",10,-0.327777777777778,51.4325
"204",7,-0.327222222222222,51.4325
"205",4,-0.325555555555556,51.4325
"206",5,-0.325,51.4325
"207",7,-0.324444444444445,51.4325
"208",9,-0.323888888888889,51.4325
"209",11,-0.323333333333333,51.4325
"210",11,-0.322777777777778,51.4325
"211",10,-0.322222222222222,51.4325
"212",10,-0.321666666666667,51.4325
"213",12,-0.321111111111111,51.4325
"214",13,-0.320555555555556,51.4325
"215",13,-0.32,51.4325
"216",10,-0.319444444444445,51.4325
"217",9,-0.318888888888889,51.4325
"218",8,-0.318333333333333,51.4325
"219",8,-0.317777777777778,51.4325
"220",9,-0.317222222222222,51.4325
"221",10,-0.316666666666667,51.4325
"222",9,-0.316111111111111,51.4325
"223",9,-0.315555555555556,51.4325
"224",10,-0.315,51.4325
"225",9,-0.314444444444445,51.4325
"226",7,-0.313888888888889,51.4325
"227",6,-0.313333333333333,51.4325
"228",8,-0.312777777777778,51.4325
"229",11,-0.312222222222222,51.4325
"230",11,-0.311666666666667,51.4325
"231",11,-0.311111111111111,51.4325
"232",13,-0.310555555555556,51.4325
"233",13,-0.31,51.4325
"234",12,-0.309444444444445,51.4325
"235",12,-0.308888888888889,51.4325
"236",13,-0.308333333333333,51.4325
"237",12,-0.307777777777778,51.4325
"238",11,-0.307222222222222,51.4325
"239",11,-0.306666666666667,51.4325
"240",11,-0.306111111111111,51.4325
"241",11,-0.305555555555556,51.4325
"242",11,-0.305,51.4325
"243",12,-0.304444444444445,51.4325
"244",14,-0.303888888888889,51.4325
"245",14,-0.303333333333333,51.4325
"246",13,-0.302777777777778,51.4325
"247",15,-0.302222222222222,51.4325
"248",16,-0.301666666666667,51.4325
"249",16,-0.301111111111111,51.4325
"250",17,-0.300555555555556,51.4325
"251",18,-0.3,51.4325
"252",16,-0.299444444444445,51.4325
"253",15,-0.298888888888889,51.4325
"254",15,-0.298333333333333,51.4325
"255",15,-0.297777777777778,51.4325
"256",13,-0.297222222222222,51.4325
"257",12,-0.296666666666667,51.4325
"258",13,-0.296111111111111,51.4325
"259",15,-0.295555555555556,51.4325
"260",15,-0.295,51.4325
"261",15,-0.294444444444445,51.4325
"262",14,-0.293888888888889,51.4325
"263",15,-0.293333333333333,51.4325
"264",14,-0.292777777777778,51.4325
"265",13,-0.292222222222222,51.4325
"266",12,-0.291666666666667,51.4325
"267",13,-0.291111111111111,51.4325
"268",14,-0.290555555555556,51.4325
"269",17,-0.29,51.4325
"270",21,-0.289444444444445,51.4325
"271",22,-0.288888888888889,51.4325
"272",23,-0.288333333333333,51.4325
"273",23,-0.287777777777778,51.4325
"274",24,-0.287222222222222,51.4325
"275",27,-0.286666666666667,51.4325
"276",30,-0.286111111111111,51.4325
"277",31,-0.285555555555556,51.4325
"278",32,-0.285,51.4325
"279",29,-0.284444444444444,51.4325
"280",30,-0.283888888888889,51.4325
"281",33,-0.283333333333333,51.4325
"282",32,-0.282777777777778,51.4325
"283",35,-0.282222222222222,51.4325
"284",38,-0.281666666666667,51.4325
"285",39,-0.281111111111111,51.4325
"286",41,-0.280555555555556,51.4325
"287",43,-0.28,51.4325
"288",45,-0.279444444444444,51.4325
"289",44,-0.278888888888889,51.4325
"290",44,-0.278333333333333,51.4325
"291",44,-0.277777777777778,51.4325
"292",43,-0.277222222222222,51.4325
"293",45,-0.276666666666667,51.4325
"294",47,-0.276111111111111,51.4325
"295",48,-0.275555555555556,51.4325
"296",48,-0.275,51.4325
"297",48,-0.274444444444444,51.4325
"298",47,-0.273888888888889,51.4325
"299",46,-0.273333333333333,51.4325
"300",49,-0.272777777777778,51.4325
"301",52,-0.272222222222222,51.4325
"302",54,-0.271666666666667,51.4325
"303",52,-0.271111111111111,51.4325
"304",51,-0.270555555555556,51.4325
"305",52,-0.27,51.4325
"306",55,-0.269444444444444,51.4325
"307",56,-0.268888888888889,51.4325
"308",57,-0.268333333333333,51.4325
"309",58,-0.267777777777778,51.4325
"310",55,-0.267222222222222,51.4325
"311",51,-0.266666666666667,51.4325
"312",45,-0.266111111111111,51.4325
"313",40,-0.265555555555556,51.4325
"314",35,-0.265,51.4325
"315",30,-0.264444444444444,51.4325
"316",28,-0.263888888888889,51.4325
"317",25,-0.263333333333333,51.4325
"318",22,-0.262777777777778,51.4325
"319",21,-0.262222222222222,51.4325
"320",20,-0.261666666666667,51.4325
"321",20,-0.261111111111111,51.4325
"322",20,-0.260555555555556,51.4325
"323",19,-0.26,51.4325
"324",17,-0.259444444444444,51.4325
"325",16,-0.258888888888889,51.4325
"326",14,-0.258333333333333,51.4325
"327",15,-0.257777777777778,51.4325
"328",15,-0.257222222222222,51.4325
"329",16,-0.256666666666667,51.4325
